Name,名前,Univ,Dept,Title,Style,Field,YOG,Lct
"YAMAMOTO, Yuichi",山本 裕一,U Penn,Econ,Assi,Theory,Game,2004,USA
"KOH, Dongya",x x,Arkansas,Busi,Assi,Theory,Macro,2004,USA
"OHINATA, Asako",大日向 麻子,Leicester,Econ,Assi,Applied,Other,2004,UK
"TODA, Alexis Akira",戸田 アレクシ哲,UCSD,Econ,Assi,Theory,Macro,2004,USA
"FUNAI, Naoki",x x,Birmingham,Econ,Other,Theory,Game,2003,UK
"KAIDO, Hiroaki",海道 宏明,Boston,Econ,Assi,Theory,Metrics,2003,USA
"FUKUSHIMA, Kenichi",福島 謙一,Wisconsin-Madison,Econ,Assi,Theory,Macro,2003,USA
"KOJIMA, Fuhito",小島 武仁,Stanford,Econ,Asso,Theory,Game,2003,USA
"KISO, Takahiko",x x,Aberdeen,Econ,Prof,Applied,Micro,2003,UK
"YAMASHITA, Takuro",山下 拓朗,Toulouse,Econ,Assi,Theory,Micro,2003,Euro
"WAKI, Yuichiro",脇 雄一郎,Queensland,Econ,Assi,Both,Macro,2003,Aus
"KASHIWAGI, Masanori",柏木 昌成,Taiwan,Econ,Assi,Applied,Macro,2003,Asia
"KAWAI, Keiichi",河合 啓一,UNSW,Econ,Assi,Theory,Game,2003,Aus
"ZUSAI, Dai",図斉 大,Temple,Econ,Assi,Theory,Game,2003,USA
"MATSUURA, Hiroaki",松浦 広明,Oxford,Other,Assi,Applied,Health,2002,UK
"SASAKI, Yuya",佐々木 x,Johns Hopkins,Econ,Assi,Theory,Metrics,2002,USA
"TSUYUHARA, Kunio",露原 邦夫,Calgary,Econ,Assi,Theory,Micro,2002,Can
"HONRYO, Takakazu",x x,Mannheim,Econ,Assi,Theory,Micro,2002,Euro
"OKA, Tatsushi",岡 達志 ,NUS,Econ,Assi,Theory,Metrics,2002,Asia
"TAKAHASHI, Yuya",高橋 悠也,Johns Hopkins,Econ,Assi,Applied,IO,2002,USA
"IKEFUJI, Masako",生藤 昌子,Southern Denmark,Other,Assi,Both,Macro,2002,Euro
"MINAMIHASHI, Naoaki",南橋 尚明,Gothenburg,Busi,Other,Applied,IO,2002,Euro
"KITAGAWA, Toru",北川 透,UCL,Econ,Assi,Theory,Metrics,2002,UK
IGAMI Mitsuru,伊神 満,Yale,Econ,Assi,Applied,IO,2002,USA
"NAKAMURA, Emi",中村 x,Columbia,Busi,Asso,Applied,Micro,2001,USA
"SHIGEOKA, Hitoshi",重岡 仁,Simon Fraser,Econ,Assi,Applied,Health,2001,Can
"TESHIMA, Kensuke",手島 健介,ITAM,Econ,Assi,Applied,Dev,2001,Other
"KAWAKAMI, Kei",川上 圭,Melbourne,Econ,Assi,Both,Macro,2001,Aus
"KUDAMATSU, Masayuki",下松 真之,Stockholm,Other,Assi,Applied,Dev,2000,Euro
"ISHIHARA, Masakazu",石原 昌和,NYU,Busi,Assi,Applied,IO,2000,USA
"YAMASHITA, Nobu",山下 直輝,RMIT,Econ,Asso,Applied,Intl,2000,Aus
"KANAYA, Shin",金谷 信,Aarhus,Busi,Assi,Theory,Metrics,2000,Euro
"YAMADA, Ken",山田 憲,SMU,Econ,Assi,Applied,Labor,2000,Asia
"SHIMOKAWA, Satoru",下川 哲,HKUST,Other,Assi,Applied,Dev,2000,Asia
"YOSHIMOTO, Hisayuki",x x,Glasgow,Busi,Assi,Applied,IO,2000,UK
"YOKOTANI, Akira",横谷 亮,Queensland,Econ,Other,Theory,Game,2000,Aus
"TAKAHASHI, Satoru",高橋 悟,NUS,Econ,Prof,Theory,Game,2000,Asia
"KAMEI, Kenju",x x ,Durham,Busi,Assi,Applied,Micro,2000,UK
"AIBA, Katsuhiko",相羽 勝彦,Bonn,Econ,Other,Theory,Game,200,Euro
"HAMAO, Yasushi",濱尾 泰,USC,Busi,Asso,Applied,Fin,19xx,USA
"IMAI, Susumu",今井 晋,UTS,Busi,Asso,Applied,Labor,19xx,Aus
"TSUCHIYA, Aki",土屋 有紀,Sheffield,Other,Prof,Applied,Health,19xx,UK
"YAMADA, Takeshi",山田 健,Adelaide,Busi,Asso,Applied,Fin,19xx,Aus
"TAKAYAMA, Shino",高山 史乃,Queensland,Econ,Other,Theory,Micro,19xx,Aus
"SHIMOJI, Makoto",下地 誠,York,Econ,Asso,Theory,Game,199x,UK
"TSUTSUI, Kei",x x,Frankfurt,Mngm,Other,Both,Behav,199x,Euro
"NISHIDA, Mitsukuni",西田 充邦,Johns Hopkins,Busi,Assi,Applied,IO,1999,USA
"OTSU, Keisuke",大津 敬介,Kent,Econ,Assi,Both,Macro,1999,UK
OKIMOTO Tatsuyoshi,沖本 竜義,ANU,PubP,Asso,Theory,Metrics,1999,Aus
"YAMAGUCHI, Shintaro",山口 慎太郎,McMaster,Econ,Asso,Applied,Labor,1999,Can
"KIKUCHI, Tomoo",菊地 x,NUS,PubP,Other,Theory,Macro,1999,Asia
"TANAKA, Migiwa",田中 x,Wilfrid Laurier,Econ,Assi,Applied,IO,1998,Can
"SUZUKI, Junichi",鈴木 純一,Toronto,Econ,Assi,Applied,IO,1998,Can
"KORIYAMA, Yukio",郡山 幸雄,Ecole Poly,Econ,Asso,Theory,Game,1998,Euro
"WATANABE, Yasutora",渡辺 安虎,HKUST,Econ,Asso,Applied,IO,1998,Asia
"MORIYA S., Asako",x x,Indiana,PubP,Other,Applied,Health,1998,USA
"NISHIOKA, Shuichiro",西岡 修一郎,West Virginia,Econ,Asso,Applied,Intl,1998,USA
"HANAKI, Nobuyuki",花木 伸行,Nice Sophia Antipolis,Econ,Prof,Both,Micro,1997,Euro
"TARUI, Nori",樽井 礼,Hawaii-Manoa,Econ,Asso,Theory,Micro,1997,USA
"MARUYAMA, Shiko",丸山 士行,UTS,Busi,Asso,Both,Micro,1997,Aus
"FUJII, Tomoki",藤井 朋樹,SMU,Econ,Asso,Applied,Dev,1997,Asia
"WATANABE, Akiko",渡辺 安芸子,Alberta,Busi,Asso,Applied,Fin,1996,USA
"HAYASHI, Takashi",林 貴志,Glasgow,Busi,Prof,Theory,Micro,1996,UK
"UEDA, Michiko",上田 路子,Syracuse,PubP,Assi,Applied,Other,1996,USA
"WATANABE, Makoto",渡辺 誠,Amsterdam,Econ,Asso,Theory,Micro,1996,Euro
"OTSU, Taisuke",大津 泰介,LSE,Econ,Asso,Theory,Metrics,1996,UK
"KITAO, Sagiri",北尾 早霧,CUNY-Hunter,Econ,Asso,Both,Macro,1996,USA
"ISHII, Jun",石井 x,Amherst,Econ,Asso,Applied,Micro,1995,USA
"MUKOYAMA, Toshihiko",向山 敏彦,Virginia,Econ,Asso,Theory,Macro,1995,USA
"IMAI, Masami",今井 x,Wesleyan,Econ,Prof,Applied,Macro,1995,USA
"KASAHARA, Hiro",笠原 博幸,UBC,Econ,Asso,Theory,Metrics,1995,Can
"OBARA, Ichiro",小原 一郎,UCLA,Econ,Asso,Theory,Game,1994,USA
"SHIBAYAMA, Katsuyuki",柴山 x,Kent,Econ,Assi,Both,Macro,1993,UK
"YOO, Byung Kwang",x x,UC Davis,Other,Asso,Applied,Health,1993,USA
"YASUDA, Ayako",保田 彩子,UC Davis,Mngm,Asso,Applied,Fin,1993,USA
"YOSHIDA, Jiro",吉田 二郎,Penn State,Busi,Assi,Applied,Other,1992,USA
"YAMAGATA, Takashi",x x,York,Econ,Prof,Applied,Macro,1992,UK
"HIRANO, Keisuke",平野 敬祐,PSU,Econ,Prof,Theory,Metrics,1992,USA
"WATANABE, Masahiro",渡辺 雅弘,Alberta,Busi,Asso,Both,Fin,1991,USA
"UEDA, Masako",上田 正子,Northwestern,Mngm,Other,Theory,Fin,1991,USA
"KUNIEDA, Takuma",國枝 卓真,CityUHK,Econ,Assi,Both,Macro,1991,Asia
"INOUE, Atsushi",井上 篤,Vanderbilt,Econ,Prof,Both,Metrics,1991,USA
"IMAI, Katsushi S.",今井 克,Manchester,Econ,Asso,Applied,Dev,1990,UK
"MIYAGIWA, Kaz",宮際 計行,Florida Intl,Econ,Asso,Theory,Intl,198x,USA
"ONO, Hiroshi",小野 浩,Texas A&M,Other,Asso,Applied,Micro,1989,USA
"KONISHI, Hideo",小西 秀男,Boston College,Econ,Prof,Theory,Game,1987,USA
"KANEDA, Mitsuhiro",金田 充弘,Georgetown,Econ,Other,Theory,Game,1986,USA
"KITAMURA, Yuichi",北村 祐一,Yale,Econ,Prof,Theory,Metrics,1986,USA
"MORITA, Hodaka",森田 穂高,UNSW,Busi,Prof,Theory,IO,1985,Aus
"NISHIYAMA, Shinichi",西山 慎一,Lancaster,Econ,Asso,Applied,Macro,1984,UK
"HOSHI, Takeo",星 岳雄,Stanford,Other,Prof,Applied,Macro,1983,USA
"MATSUYAMA, Kiminori",松山 公紀,Northwestern,Econ,Prof,Theory,Macro,1980,USA
"SAKAKIBARA, Mariko",榊原 磨理子,UCLA,Mngm,Prof,Applied,Micro,1979,USA
"KIYOTAKI, Nobuhiro",清滝 信宏,Princeton,Econ,Prof,Theory,Macro,1978,USA
"KATO, Takao",加藤 隆夫,Calgate,Econ,Prof,Applied,Labor,1977,USA
"ITO, Takatoshi",伊藤 隆敏,Columbia,PubP,Prof,Both,Macro,1973,USA
"MIYAZAKI, Hajime",宮崎 元,Ohio State,Econ,Prof,Theory,Micro,1972,USA
"NAKAMURA, Masao",中村 政男,UBC,Busi,Prof,Both,Other,1967,Can
"ICHIISHI, Tatsuro",市石 達郎,Ohio State,Econ,Emer,Theory,Micro,1966,USA
"AMEMIYA, Takeshi",雨宮 健,Stanford,Econ,Emer,Theory,Metrics,195x,USA
"HAMADA, Koichi",浜田 宏一,Yale,Econ,Emer,Theory,Intl,1958,USA
