Name,ñºëO,Univ,Dept,Title,Style,Field,Top5,Media,YOG,Lct,journal,authors
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Theoretical Economics,2
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Games and Economic Behavior,2
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Journal of Economic Theory,1
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Economics Bulletin,2
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Journal of Economic Behavior and Organization,2
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Theoretical Economics,2
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Games and Economic Behavior,1
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,International Journal of Game Theory,1
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Theoretical Economics,2
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,International Game Theory Review,2
"TAKAHASHI, Satoru",çÇã¥ åÂ,NUS,Econ,Prof,Theory,Game,NA,NA,2000,Asia,Games and Economic Behavior,3
"KAMEI, Kenju",x x ,Durham,Busi,Assi,Applied,Micro,NA,NA,2000,UK,Journal of Economic Behavior and Organization,2
"KAMEI, Kenju",x x ,Durham,Busi,Assi,Applied,Micro,NA,NA,2000,UK,Economics Letters,1
"KAMEI, Kenju",x x ,Durham,Busi,Assi,Applied,Micro,NA,NA,2000,UK,Experimental Economics,3
"KAMEI, Kenju",x x ,Durham,Busi,Assi,Applied,Micro,NA,NA,2000,UK,Journal of Socio-Economics,1
"KAMEI, Kenju",x x ,Durham,Busi,Assi,Applied,Micro,NA,NA,2000,UK,Economics Letters,1
"KAMEI, Kenju",x x ,Durham,Busi,Assi,Applied,Micro,NA,NA,2000,UK,Journal of Public Economics,3
"AIBA, Katsuhiko",ëäâH èüïF,Bonn,Econ,Other,Theory,Game,NA,NA,200,Euro,International Journal of Game Theory,1
"AIBA, Katsuhiko",ëäâH èüïF,Bonn,Econ,Other,Theory,Game,NA,NA,200,Euro,Games and Economic Behavior,1
"IMAI, Susumu",ç°à‰ êW,UTS,Busi,Asso,Applied,Labor,NA,NA,19xx,Aus,Journal of International Economics,3
"IMAI, Susumu",ç°à‰ êW,UTS,Busi,Asso,Applied,Labor,NA,NA,19xx,Aus,Econometrica,3
"IMAI, Susumu",ç°à‰ êW,UTS,Busi,Asso,Applied,Labor,NA,NA,19xx,Aus,European Economic Review,3
"IMAI, Susumu",ç°à‰ êW,UTS,Busi,Asso,Applied,Labor,NA,NA,19xx,Aus,International Review of Economics and Finance,3
"IMAI, Susumu",ç°à‰ êW,UTS,Busi,Asso,Applied,Labor,NA,NA,19xx,Aus,Journal of International Economics,4
"TAKAYAMA, Shino",çÇéR éjîT,Queensland,Econ,Other,Theory,Micro,NA,NA,19xx,Aus,The B.E. Journal of Economic Policy and Analysis,2
"TAKAYAMA, Shino",çÇéR éjîT,Queensland,Econ,Other,Theory,Micro,NA,NA,19xx,Aus,Annals of Finance,2
"TAKAYAMA, Shino",çÇéR éjîT,Queensland,Econ,Other,Theory,Micro,NA,NA,19xx,Aus,Economic Theory,2
"TAKAYAMA, Shino",çÇéR éjîT,Queensland,Econ,Other,Theory,Micro,NA,NA,19xx,Aus,Economics Bulletin,2
"TAKAYAMA, Shino",çÇéR éjîT,Queensland,Econ,Other,Theory,Micro,NA,NA,19xx,Aus,Annals of Finance,1
"TAKAYAMA, Shino",çÇéR éjîT,Queensland,Econ,Other,Theory,Micro,NA,NA,19xx,Aus,Journal of Financial Markets,2
"TAKAYAMA, Shino",çÇéR éjîT,Queensland,Econ,Other,Theory,Micro,NA,NA,19xx,Aus,International Journal of Economic Theory,1
"SHIMOJI, Makoto",â∫ín êΩ,York,Econ,Asso,Theory,Game,NA,NA,199x,UK,Games and Economic Behavior,2
"SHIMOJI, Makoto",â∫ín êΩ,York,Econ,Asso,Theory,Game,NA,NA,199x,UK,Econometrica,2
"SHIMOJI, Makoto",â∫ín êΩ,York,Econ,Asso,Theory,Game,NA,NA,199x,UK,Journal of Mathematical Economics,2
"SHIMOJI, Makoto",â∫ín êΩ,York,Econ,Asso,Theory,Game,NA,NA,199x,UK,The B.E. Journal of Theoretical Economics,2
"SHIMOJI, Makoto",â∫ín êΩ,York,Econ,Asso,Theory,Game,NA,NA,199x,UK,Games and Economic Behavior,1
"TSUTSUI, Kei",x x,Frankfurt,Mngm,Other,Both,Behav,NA,NA,199x,Euro,Frontiers in Psychology,3
"TSUTSUI, Kei",x x,Frankfurt,Mngm,Other,Both,Behav,NA,NA,199x,Euro,Experimental Economics,3
"TSUTSUI, Kei",x x,Frankfurt,Mngm,Other,Both,Behav,NA,NA,199x,Euro,American Economic Review,4
"TSUTSUI, Kei",x x,Frankfurt,Mngm,Other,Both,Behav,NA,NA,199x,Euro,Experimental Economics,2
"TSUTSUI, Kei",x x,Frankfurt,Mngm,Other,Both,Behav,NA,NA,199x,Euro,Personality and Individual Differences,4
"TSUTSUI, Kei",x x,Frankfurt,Mngm,Other,Both,Behav,NA,NA,199x,Euro,European Economic Review,4
"TSUTSUI, Kei",x x,Frankfurt,Mngm,Other,Both,Behav,NA,NA,199x,Euro,Journal of Economic Behavior and Organization,2
"OTSU, Keisuke",ëÂí√ åhâÓ,Kent,Econ,Assi,Both,Macro,NA,NA,1999,UK,Economics Bulletin,2
"OTSU, Keisuke",ëÂí√ åhâÓ,Kent,Econ,Assi,Both,Macro,NA,NA,1999,UK,Journal of Economic Dynamics and Control,1
"OTSU, Keisuke",ëÂí√ åhâÓ,Kent,Econ,Assi,Both,Macro,NA,NA,1999,UK,The B.E. Journal of Macroeconomics,1
"OTSU, Keisuke",ëÂí√ åhâÓ,Kent,Econ,Assi,Both,Macro,NA,NA,1999,UK,Economics Bulletin,1
"OTSU, Keisuke",ëÂí√ åhâÓ,Kent,Econ,Assi,Both,Macro,NA,NA,1999,UK,Monetary and Economic Studies,1
"OTSU, Keisuke",ëÂí√ åhâÓ,Kent,Econ,Assi,Both,Macro,NA,NA,1999,UK,The B.E. Journal of Macroeconomics,1
"OTSU, Keisuke",ëÂí√ åhâÓ,Kent,Econ,Assi,Both,Macro,NA,NA,1999,UK,The B.E. Journal of Macroeconomics,1
"OTSU, Keisuke",ëÂí√ åhâÓ,Kent,Econ,Assi,Both,Macro,NA,NA,1999,UK,Seoul Journal of Economics,2
"OTSU, Keisuke",ëÂí√ åhâÓ,Kent,Econ,Assi,Both,Macro,NA,NA,1999,UK,Review of Economic Dynamics,1
OKIMOTO Tatsuyoshi,â´ñ{ ó≥ã`,ANU,PubP,Asso,Theory,Metrics,NA,NA,1999,Aus,Journal of Banking and Finance,1
OKIMOTO Tatsuyoshi,â´ñ{ ó≥ã`,ANU,PubP,Asso,Theory,Metrics,NA,NA,1999,Aus,Japanese Economic Review,3
OKIMOTO Tatsuyoshi,â´ñ{ ó≥ã`,ANU,PubP,Asso,Theory,Metrics,NA,NA,1999,Aus,Japan and the World Economy,2
OKIMOTO Tatsuyoshi,â´ñ{ ó≥ã`,ANU,PubP,Asso,Theory,Metrics,NA,NA,1999,Aus,Applied Financial Economics,3
OKIMOTO Tatsuyoshi,â´ñ{ ó≥ã`,ANU,PubP,Asso,Theory,Metrics,NA,NA,1999,Aus,Journal of the Japanese and International Economies,3
OKIMOTO Tatsuyoshi,â´ñ{ ó≥ã`,ANU,PubP,Asso,Theory,Metrics,NA,NA,1999,Aus,Journal of Banking and Finance,2
OKIMOTO Tatsuyoshi,â´ñ{ ó≥ã`,ANU,PubP,Asso,Theory,Metrics,NA,NA,1999,Aus,Journal of Futures Markets,2
OKIMOTO Tatsuyoshi,â´ñ{ ó≥ã`,ANU,PubP,Asso,Theory,Metrics,NA,NA,1999,Aus,Journal of the Japanese and International Economies,2
OKIMOTO Tatsuyoshi,â´ñ{ ó≥ã`,ANU,PubP,Asso,Theory,Metrics,NA,NA,1999,Aus,Journal of Financial and Quantitative Analysi,1
OKIMOTO Tatsuyoshi,â´ñ{ ó≥ã`,ANU,PubP,Asso,Theory,Metrics,NA,NA,1999,Aus,Journal of the Japanese and International Economies,2
OKIMOTO Tatsuyoshi,â´ñ{ ó≥ã`,ANU,PubP,Asso,Theory,Metrics,NA,NA,1999,Aus,"Journal of Money, Credit and Banking",2
"YAMAGUCHI, Shintaro",éRå˚ êTëæòY,McMaster,Econ,Asso,Applied,Labor,NA,NA,1999,Can,Journal of the Japanese and International Economies,3
"YAMAGUCHI, Shintaro",éRå˚ êTëæòY,McMaster,Econ,Asso,Applied,Labor,NA,NA,1999,Can,Journal of Economic Behavior and Organization,2
"YAMAGUCHI, Shintaro",éRå˚ êTëæòY,McMaster,Econ,Asso,Applied,Labor,NA,NA,1999,Can,Journal of Labor Economics,1
"YAMAGUCHI, Shintaro",éRå˚ êTëæòY,McMaster,Econ,Asso,Applied,Labor,NA,NA,1999,Can,Health Economics,3
"YAMAGUCHI, Shintaro",éRå˚ êTëæòY,McMaster,Econ,Asso,Applied,Labor,NA,NA,1999,Can,Labour Economics,1
"YAMAGUCHI, Shintaro",éRå˚ êTëæòY,McMaster,Econ,Asso,Applied,Labor,NA,NA,1999,Can,Journal of Labor Economics,1
"YAMAGUCHI, Shintaro",éRå˚ êTëæòY,McMaster,Econ,Asso,Applied,Labor,NA,NA,1999,Can,Labour Economics,1
"YAMAGUCHI, Shintaro",éRå˚ êTëæòY,McMaster,Econ,Asso,Applied,Labor,NA,NA,1999,Can,Eastern European Economics,1
"KIKUCHI, Tomoo",ãeín x,NUS,PubP,Other,Theory,Macro,NA,NA,1999,Asia,Journal of Mathematical Economics,2
"KIKUCHI, Tomoo",ãeín x,NUS,PubP,Other,Theory,Macro,NA,NA,1999,Asia,Journal of Economic Dynamics and Control,2
"KIKUCHI, Tomoo",ãeín x,NUS,PubP,Other,Theory,Macro,NA,NA,1999,Asia,International Journal of Economic Theory,3
"KIKUCHI, Tomoo",ãeín x,NUS,PubP,Other,Theory,Macro,NA,NA,1999,Asia,Journal of Economic Theory,2
"KIKUCHI, Tomoo",ãeín x,NUS,PubP,Other,Theory,Macro,NA,NA,1999,Asia,Computational Economics,3
"KIKUCHI, Tomoo",ãeín x,NUS,PubP,Other,Theory,Macro,NA,NA,1999,Asia,Journal of Economic THeory,1
"TANAKA, Migiwa",ìcíÜ x,Wilfrid Laurier,Econ,Assi,Applied,IO,NA,NA,1998,Can,Advances in Econometrics,1
"TANAKA, Migiwa",ìcíÜ x,Wilfrid Laurier,Econ,Assi,Applied,IO,NA,NA,1998,Can,Economics Letters,2
"SUZUKI, Junichi",óÈñÿ èÉàÍ,Toronto,Econ,Assi,Applied,IO,NA,NA,1998,Can,Quantitative Marketing and Economics,2
"SUZUKI, Junichi",óÈñÿ èÉàÍ,Toronto,Econ,Assi,Applied,IO,NA,NA,1998,Can,International Economic Review,1
"SUZUKI, Junichi",óÈñÿ èÉàÍ,Toronto,Econ,Assi,Applied,IO,NA,NA,1998,Can,Journal of Comparative Economics,2
"KORIYAMA, Yukio",åSéR çKóY,Ecole Poly,Econ,Asso,Theory,Game,NA,NA,1998,Euro,Journal of Political Economy,4
"KORIYAMA, Yukio",åSéR çKóY,Ecole Poly,Econ,Asso,Theory,Game,NA,NA,1998,Euro,Games and Economic Behavior,2
"KORIYAMA, Yukio",åSéR çKóY,Ecole Poly,Econ,Asso,Theory,Game,NA,NA,1998,Euro,Theoretical Economics,2
"WATANABE, Yasutora",ìnï” à¿å’,HKUST,Econ,Asso,Applied,IO,NA,NA,1998,Asia,Health Economics,2
"WATANABE, Yasutora",ìnï” à¿å’,HKUST,Econ,Asso,Applied,IO,NA,NA,1998,Asia,American Economic Review,2
"WATANABE, Yasutora",ìnï” à¿å’,HKUST,Econ,Asso,Applied,IO,NA,NA,1998,Asia,Advances in Econometrics,2
"WATANABE, Yasutora",ìnï” à¿å’,HKUST,Econ,Asso,Applied,IO,NA,NA,1998,Asia,Journal of Law and Economics,3
"WATANABE, Yasutora",ìnï” à¿å’,HKUST,Econ,Asso,Applied,IO,NA,NA,1998,Asia,Economics Letters,2
"WATANABE, Yasutora",ìnï” à¿å’,HKUST,Econ,Asso,Applied,IO,NA,NA,1998,Asia,American Law and Economics Review,2
"WATANABE, Yasutora",ìnï” à¿å’,HKUST,Econ,Asso,Applied,IO,NA,NA,1998,Asia,"Journal of Law, Economics, and Organization",2
"HANAKI, Nobuyuki",â‘ñÿ êLçs,Nice Sophia Antipolis,Econ,Prof,Both,Micro,NA,NA,1997,Euro,Journal of Economic Dynamics and Control,3
"HANAKI, Nobuyuki",â‘ñÿ êLçs,Nice Sophia Antipolis,Econ,Prof,Both,Micro,NA,NA,1997,Euro,Social Choice and Welfare,5
"HANAKI, Nobuyuki",â‘ñÿ êLçs,Nice Sophia Antipolis,Econ,Prof,Both,Micro,NA,NA,1997,Euro,Administrative Sciences,2
"HANAKI, Nobuyuki",â‘ñÿ êLçs,Nice Sophia Antipolis,Econ,Prof,Both,Micro,NA,NA,1997,Euro,Journal of Economic Behavior and Organization,3
"HANAKI, Nobuyuki",â‘ñÿ êLçs,Nice Sophia Antipolis,Econ,Prof,Both,Micro,NA,NA,1997,Euro,The History of the Family,2
"HANAKI, Nobuyuki",â‘ñÿ êLçs,Nice Sophia Antipolis,Econ,Prof,Both,Micro,NA,NA,1997,Euro,Labour Economics,3
"HANAKI, Nobuyuki",â‘ñÿ êLçs,Nice Sophia Antipolis,Econ,Prof,Both,Micro,NA,NA,1997,Euro,Journal of Economic Dynamics and Control,3
"HANAKI, Nobuyuki",â‘ñÿ êLçs,Nice Sophia Antipolis,Econ,Prof,Both,Micro,NA,NA,1997,Euro,Journal of Economic Interaction and Coordination,2
"HANAKI, Nobuyuki",â‘ñÿ êLçs,Nice Sophia Antipolis,Econ,Prof,Both,Micro,NA,NA,1997,Euro,Journal of Economic Behavior and Organization,2
"HANAKI, Nobuyuki",â‘ñÿ êLçs,Nice Sophia Antipolis,Econ,Prof,Both,Micro,NA,NA,1997,Euro,Management Science,4
"MARUYAMA, Shiko",ä€éR émçs,UTS,Busi,Asso,Both,Micro,NA,NA,1997,Aus,Economics and Human Biology,2
"MARUYAMA, Shiko",ä€éR émçs,UTS,Busi,Asso,Both,Micro,NA,NA,1997,Aus,Journal of the Japanese and International Economies,1
"MARUYAMA, Shiko",ä€éR émçs,UTS,Busi,Asso,Both,Micro,NA,NA,1997,Aus,Journal of Family and Economic Issues,3
"MARUYAMA, Shiko",ä€éR émçs,UTS,Busi,Asso,Both,Micro,NA,NA,1997,Aus,Journal of Econometrics,1
"MARUYAMA, Shiko",ä€éR émçs,UTS,Busi,Asso,Both,Micro,NA,NA,1997,Aus,Journal of Applied Econometrics,2
"MARUYAMA, Shiko",ä€éR émçs,UTS,Busi,Asso,Both,Micro,NA,NA,1997,Aus,Health Policy,2
"MARUYAMA, Shiko",ä€éR émçs,UTS,Busi,Asso,Both,Micro,NA,NA,1997,Aus,Health Economics,2
"MARUYAMA, Shiko",ä€éR émçs,UTS,Busi,Asso,Both,Micro,NA,NA,1997,Aus,International Economic Review,1
"FUJII, Tomoki",ì°à‰ ï¸é˜,SMU,Econ,Asso,Applied,Dev,NA,NA,1997,Asia,Asian Economic Journal,1
"FUJII, Tomoki",ì°à‰ ï¸é˜,SMU,Econ,Asso,Applied,Dev,NA,NA,1997,Asia,Oxford Bulleting of Economics and Statistics,2
"FUJII, Tomoki",ì°à‰ ï¸é˜,SMU,Econ,Asso,Applied,Dev,NA,NA,1997,Asia,Food Policy,1
"FUJII, Tomoki",ì°à‰ ï¸é˜,SMU,Econ,Asso,Applied,Dev,NA,NA,1997,Asia,Mathematical Social Sciences,1
